LG+G4m{0.811339}+BU{0.914707}, partition_0 = 1427-1723
LG+G4m{0.581263}+BU{1.064153}, partition_1 = 31546-31875
LG+G4m{0.560954}+BU{0.675526}, partition_2 = 5138-5349
LG+G4m{0.696317}+BU{1.005166}, partition_3 = 32390-32644
LG+G4m{0.817443}+BU{2.458403}, partition_4 = 16862-17069
LG+G4m{0.397560}+BU{0.465706}, partition_5 = 36739-36854
LG+G4m{0.780875}+BU{0.342867}, partition_6 = 17070-17258
LG+G4m{0.532799}+BU{1.300209}, partition_7 = 10346-10751
LG+G4m{0.629269}+BU{1.266784}, partition_8 = 30522-30975
LG+G4m{0.534194}+BU{0.900135}, partition_9 = 12947-13163
LG+G4m{0.316776}+BU{0.518365}, partition_10 = 10752-11560
LG+G4m{1.195019}+BU{0.357873}, partition_11 = 895-1036
LG+G4m{0.664368}+BU{1.253841}, partition_12 = 19910-20259
LG+G4m{0.782289}+BU{0.744088}, partition_13 = 2802-3073
LG+G4m{0.494096}+BU{1.054815}, partition_14 = 31876-32389
LG+G4m{0.704993}+BU{0.841444}, partition_15 = 35900-36127
LG+G4m{1.010999}+BU{1.345483}, partition_16 = 21529-21720
LG+G4m{0.735523}+BU{1.860699}, partition_17 = 22444-22752
LG+G4m{0.389126}+BU{0.244551}, partition_18 = 8710-8837
LG+G4m{0.631693}+BU{1.490000}, partition_19 = 15108-15414
LG+G4m{0.924481}+BU{0.806628}, partition_20 = 5350-5537
LG+G4m{0.250712}+BU{0.223661}, partition_21 = 12126-12542
LG+G4m{0.188077}+BU{0.662230}, partition_22 = 1724-2198
LG+G4m{0.644496}+BU{0.872763}, partition_23 = 13841-13908
LG+G4m{1.030733}+BU{2.166437}, partition_24 = 25136-25344
LG+G4m{0.415871}+BU{1.423775}, partition_25 = 23928-24162
LG+G4m{0.287933}+BU{0.113049}, partition_26 = 25969-26111
LG+G4m{0.537111}+BU{2.239237}, partition_27 = 25594-25968
LG+G4m{0.645827}+BU{0.946735}, partition_28 = 6235-6490
LG+G4m{0.691875}+BU{1.187146}, partition_29 = 33471-33770
LG+G4m{0.706829}+BU{1.463016}, partition_30 = 22982-23300
LG+G4m{0.487122}+BU{0.872369}, partition_31 = 34265-34709
LG+G4m{0.488046}+BU{1.230999}, partition_32 = 36549-36738
LG+G4m{0.309889}+BU{0.466774}, partition_33 = 34710-35311
LG+G4m{0.530958}+BU{0.749384}, partition_34 = 28131-28674
LG+G4m{0.703458}+BU{1.609314}, partition_35 = 35312-35623
LG+G4m{0.310218}+BU{0.193734}, partition_36 = 17896-18309
LG+G4m{0.625170}+BU{0.488154}, partition_37 = 22045-22443
LG+G4m{0.751029}+BU{1.200497}, partition_38 = 29278-29550
LG+G4m{0.662015}+BU{1.043719}, partition_39 = 14209-14696
LG+G4m{0.249903}+BU{0.926504}, partition_40 = 8191-8340
LG+G4m{0.827149}+BU{1.804351}, partition_41 = 23509-23927
LG+G4m{0.883599}+BU{1.739949}, partition_42 = 27066-27321
LG+G4m{1.155174}+BU{1.598530}, partition_43 = 31168-31302
LG+G4m{0.748061}+BU{0.743616}, partition_44 = 6491-6688
LG+G4m{0.824469}+BU{0.977948}, partition_45 = 9159-9418
LG+G4m{0.450484}+BU{0.979950}, partition_46 = 17380-17895
